AIRCRAFT_ID,AIRCRAFT_MANUFACTURER,AIRCRAFT_MODEL,SEAT_CAPACITY,REVIEW_ID
42,Unknown,Unknown,,148703
42,Unknown,Unknown,,109126
42,Unknown,Unknown,,108192
42,Unknown,Unknown,,86111
42,Unknown,Unknown,,138606
42,Unknown,Unknown,,74399
42,Unknown,Unknown,,34704
42,Unknown,Unknown,,55383
42,Unknown,Unknown,,114358
42,Unknown,Unknown,,72161
42,Unknown,Unknown,,36703
3,Airbus,A320,180,97911
42,Unknown,Unknown,,111972
42,Unknown,Unknown,,79103
42,Unknown,Unknown,,75972
42,Unknown,Unknown,,46626
19,Boeing,Boeing 737,189,48015
19,Boeing,Boeing 737,189,48016
42,Unknown,Unknown,,155306
42,Unknown,Unknown,,42207
42,Unknown,Unknown,,43396
42,Unknown,Unknown,,94504
42,Unknown,Unknown,,72828
42,Unknown,Unknown,,68480
23,Boeing,Boeing 747,467,70736
42,Unknown,Unknown,,136516
32,Boeing,Boeing 777,396,55073
34,Boeing,Boeing 787,242,66379
42,Unknown,Unknown,,117531
42,Unknown,Unknown,,89761
42,Unknown,Unknown,,91098
32,Boeing,Boeing 777,396,84540
42,Unknown,Unknown,,124279
42,Unknown,Unknown,,81118
42,Unknown,Unknown,,119949
42,Unknown,Unknown,,151403
42,Unknown,Unknown,,44897
26,Boeing,Boeing 757,200,66506
42,Unknown,Unknown,,61244
42,Unknown,Unknown,,113951
32,Boeing,Boeing 777,396,75458
42,Unknown,Unknown,,44547
42,Unknown,Unknown,,41402
42,Unknown,Unknown,,125327
42,Unknown,Unknown,,86047
19,Boeing,Boeing 737,189,89699
42,Unknown,Unknown,,59204
26,Boeing,Boeing 757,200,74566
42,Unknown,Unknown,,67557
42,Unknown,Unknown,,105393
3,Airbus,A320,180,84851
42,Unknown,Unknown,,96290
42,Unknown,Unknown,,68257
42,Unknown,Unknown,,126373
42,Unknown,Unknown,,140085
42,Unknown,Unknown,,118516
42,Unknown,Unknown,,43468
42,Unknown,Unknown,,73874
42,Unknown,Unknown,,77015
19,Boeing,Boeing 737,189,41248
42,Unknown,Unknown,,48002
42,Unknown,Unknown,,102167
28,Boeing,Boeing 767,216,126436
42,Unknown,Unknown,,36465
42,Unknown,Unknown,,134674
42,Unknown,Unknown,,123727
42,Unknown,Unknown,,114764
42,Unknown,Unknown,,136128
19,Boeing,Boeing 737,189,118052
42,Unknown,Unknown,,90081
19,Boeing,Boeing 737,189,103969
34,Boeing,Boeing 787,242,140918
42,Unknown,Unknown,,40066
42,Unknown,Unknown,,88091
23,Boeing,Boeing 747,467,52438
42,Unknown,Unknown,,140024
32,Boeing,Boeing 777,396,92764
42,Unknown,Unknown,,101675
42,Unknown,Unknown,,114336
42,Unknown,Unknown,,102829
42,Unknown,Unknown,,105994
42,Unknown,Unknown,,54969
42,Unknown,Unknown,,65040
42,Unknown,Unknown,,125955
42,Unknown,Unknown,,117396
42,Unknown,Unknown,,118415
42,Unknown,Unknown,,76621
42,Unknown,Unknown,,63851
32,Boeing,Boeing 777,396,44445
32,Boeing,Boeing 777,396,63156
42,Unknown,Unknown,,39048
42,Unknown,Unknown,,93921
42,Unknown,Unknown,,109410
42,Unknown,Unknown,,41333
19,Boeing,Boeing 737,189,67004
42,Unknown,Unknown,,91952
42,Unknown,Unknown,,82798
42,Unknown,Unknown,,94882
19,Boeing,Boeing 737,189,118951
32,Boeing,Boeing 777,396,93781
3,Airbus,A320,180,137431
42,Unknown,Unknown,,120520
42,Unknown,Unknown,,114467
42,Unknown,Unknown,,76192
42,Unknown,Unknown,,107187
42,Unknown,Unknown,,87663
42,Unknown,Unknown,,120930
42,Unknown,Unknown,,68070
19,Boeing,Boeing 737,189,71549
19,Boeing,Boeing 737,189,46911
42,Unknown,Unknown,,63417
42,Unknown,Unknown,,108467
42,Unknown,Unknown,,119509
19,Boeing,Boeing 737,189,155393
42,Unknown,Unknown,,120902
42,Unknown,Unknown,,65619
42,Unknown,Unknown,,38145
42,Unknown,Unknown,,126230
42,Unknown,Unknown,,95883
19,Boeing,Boeing 737,189,139752
42,Unknown,Unknown,,145244
42,Unknown,Unknown,,70624
42,Unknown,Unknown,,120796
42,Unknown,Unknown,,103391
42,Unknown,Unknown,,83745
42,Unknown,Unknown,,154532
42,Unknown,Unknown,,126219
42,Unknown,Unknown,,41443
42,Unknown,Unknown,,84555
42,Unknown,Unknown,,106930
42,Unknown,Unknown,,148004
42,Unknown,Unknown,,52315
42,Unknown,Unknown,,50864
28,Boeing,Boeing 767,216,93678
42,Unknown,Unknown,,41495
42,Unknown,Unknown,,41496
42,Unknown,Unknown,,55255
42,Unknown,Unknown,,124855
42,Unknown,Unknown,,119390
42,Unknown,Unknown,,89359
42,Unknown,Unknown,,52913
42,Unknown,Unknown,,108752
42,Unknown,Unknown,,146037
42,Unknown,Unknown,,100145
32,Boeing,Boeing 777,396,87152
42,Unknown,Unknown,,86368
42,Unknown,Unknown,,35591
42,Unknown,Unknown,,117938
3,Airbus,A320,180,92687
42,Unknown,Unknown,,98426
42,Unknown,Unknown,,96666
42,Unknown,Unknown,,80267
42,Unknown,Unknown,,72558
42,Unknown,Unknown,,97839
42,Unknown,Unknown,,141085
42,Unknown,Unknown,,113033
42,Unknown,Unknown,,44457
42,Unknown,Unknown,,151283
42,Unknown,Unknown,,38672
42,Unknown,Unknown,,69876
42,Unknown,Unknown,,114760
42,Unknown,Unknown,,36047
28,Boeing,Boeing 767,216,49509
42,Unknown,Unknown,,152612
42,Unknown,Unknown,,99805
42,Unknown,Unknown,,108209
42,Unknown,Unknown,,118342
42,Unknown,Unknown,,69630
42,Unknown,Unknown,,156468
42,Unknown,Unknown,,90622
26,Boeing,Boeing 757,200,60130
32,Boeing,Boeing 777,396,152910
32,Boeing,Boeing 777,396,154267
32,Boeing,Boeing 777,396,154979
32,Boeing,Boeing 777,396,155003
32,Boeing,Boeing 777,396,95330
19,Boeing,Boeing 737,189,95331
42,Unknown,Unknown,,74745
42,Unknown,Unknown,,73843
42,Unknown,Unknown,,125751
42,Unknown,Unknown,,76569
42,Unknown,Unknown,,124501
42,Unknown,Unknown,,48673
34,Boeing,Boeing 787,242,52142
28,Boeing,Boeing 767,216,73219
42,Unknown,Unknown,,124227
42,Unknown,Unknown,,111330
19,Boeing,Boeing 737,189,79057
42,Unknown,Unknown,,64510
42,Unknown,Unknown,,68583
42,Unknown,Unknown,,45351
19,Boeing,Boeing 737,189,133776
42,Unknown,Unknown,,134762
19,Boeing,Boeing 737,189,69589
42,Unknown,Unknown,,89103
19,Boeing,Boeing 737,189,75210
42,Unknown,Unknown,,135664
42,Unknown,Unknown,,108836
42,Unknown,Unknown,,121673
42,Unknown,Unknown,,141198
42,Unknown,Unknown,,113818
42,Unknown,Unknown,,48190
19,Boeing,Boeing 737,189,43880
42,Unknown,Unknown,,112353
42,Unknown,Unknown,,92735
42,Unknown,Unknown,,114345
42,Unknown,Unknown,,104690
42,Unknown,Unknown,,100127
42,Unknown,Unknown,,64323
42,Unknown,Unknown,,151774
42,Unknown,Unknown,,116332
42,Unknown,Unknown,,106961
42,Unknown,Unknown,,141631
42,Unknown,Unknown,,48884
42,Unknown,Unknown,,118486
42,Unknown,Unknown,,145538
42,Unknown,Unknown,,120193
42,Unknown,Unknown,,84391
42,Unknown,Unknown,,86630
42,Unknown,Unknown,,45488
42,Unknown,Unknown,,128515
42,Unknown,Unknown,,141517
42,Unknown,Unknown,,78161
42,Unknown,Unknown,,113095
28,Boeing,Boeing 767,216,57839
42,Unknown,Unknown,,115276
42,Unknown,Unknown,,36476
42,Unknown,Unknown,,36477
42,Unknown,Unknown,,85337
42,Unknown,Unknown,,86569
34,Boeing,Boeing 787,242,55632
19,Boeing,Boeing 737,189,55635
42,Unknown,Unknown,,134978
23,Boeing,Boeing 747,467,44719
42,Unknown,Unknown,,103315
42,Unknown,Unknown,,94923
23,Boeing,Boeing 747,467,112464
42,Unknown,Unknown,,123303
42,Unknown,Unknown,,137351
42,Unknown,Unknown,,80970
28,Boeing,Boeing 767,216,60123
19,Boeing,Boeing 737,189,151755
42,Unknown,Unknown,,119549
34,Boeing,Boeing 787,242,131211
42,Unknown,Unknown,,39816
42,Unknown,Unknown,,84094
42,Unknown,Unknown,,101949
42,Unknown,Unknown,,114979
42,Unknown,Unknown,,80587
42,Unknown,Unknown,,93214
42,Unknown,Unknown,,40237
42,Unknown,Unknown,,119019
2,Airbus,A319,134,95252
2,Airbus,A319,134,140262
2,Airbus,A319,134,129147
2,Airbus,A319,134,88316
21,,Boeing 739,,147597
3,Airbus,A320,180,150718
19,Boeing,Boeing 737,189,112219
42,Unknown,Unknown,,76629
42,Unknown,Unknown,,62197
23,Boeing,Boeing 747,467,52653
19,Boeing,Boeing 737,189,62843
42,Unknown,Unknown,,38266
26,Boeing,Boeing 757,200,59397
3,Airbus,A320,180,42044
42,Unknown,Unknown,,75139
42,Unknown,Unknown,,141491
26,Boeing,Boeing 757,200,48974
42,Unknown,Unknown,,153116
32,Boeing,Boeing 777,396,56006
42,Unknown,Unknown,,42421
42,Unknown,Unknown,,89812
34,Boeing,Boeing 787,242,144720
42,Unknown,Unknown,,140767
32,Boeing,Boeing 777,396,48637
26,Boeing,Boeing 757,200,42826
42,Unknown,Unknown,,45916
42,Unknown,Unknown,,86121
42,Unknown,Unknown,,81689
3,Airbus,A320,180,81747
42,Unknown,Unknown,,140624
42,Unknown,Unknown,,137513
42,Unknown,Unknown,,116723
42,Unknown,Unknown,,69345
42,Unknown,Unknown,,138567
42,Unknown,Unknown,,106881
42,Unknown,Unknown,,118176
42,Unknown,Unknown,,115184
32,Boeing,Boeing 777,396,53370
42,Unknown,Unknown,,102785
42,Unknown,Unknown,,118869
19,Boeing,Boeing 737,189,99152
32,Boeing,Boeing 777,396,131541
19,Boeing,Boeing 737,189,131542
28,Boeing,Boeing 767,216,54147
42,Unknown,Unknown,,141424
42,Unknown,Unknown,,70212
32,Boeing,Boeing 777,396,65221
42,Unknown,Unknown,,96806
42,Unknown,Unknown,,92281
19,Boeing,Boeing 737,189,52686
42,Unknown,Unknown,,127590
42,Unknown,Unknown,,60492
42,Unknown,Unknown,,40428
42,Unknown,Unknown,,53352
26,Boeing,Boeing 757,200,73493
42,Unknown,Unknown,,39286
26,Boeing,Boeing 757,200,99765
32,Boeing,Boeing 777,396,41099
42,Unknown,Unknown,,94999
32,Boeing,Boeing 777,396,40840
42,Unknown,Unknown,,115580
42,Unknown,Unknown,,58956
42,Unknown,Unknown,,83483
42,Unknown,Unknown,,101072
42,Unknown,Unknown,,137200
42,Unknown,Unknown,,139424
42,Unknown,Unknown,,84690
42,Unknown,Unknown,,97041
42,Unknown,Unknown,,107762
42,Unknown,Unknown,,108699
42,Unknown,Unknown,,42702
42,Unknown,Unknown,,143118
28,Boeing,Boeing 767,216,126837
42,Unknown,Unknown,,142925
26,Boeing,Boeing 757,200,82648
42,Unknown,Unknown,,137151
